DATE,BAMLC0A0CM
2020-10-31,1.34
2020-11-02,1.33
2020-11-03,1.32
2020-11-04,1.30
2020-11-05,1.27
2020-11-06,1.25
2020-11-09,1.19
2020-11-10,1.19
2020-11-11,1.18
2020-11-12,1.21
2020-11-13,1.21
2020-11-16,1.19
2020-11-17,1.19
2020-11-18,1.17
2020-11-19,1.16
2020-11-20,1.16
2020-11-23,1.16
2020-11-24,1.15
2020-11-25,1.14
2020-11-26,1.14
2020-11-27,1.13
2020-11-30,1.12
2020-12-01,1.09
2020-12-02,1.08
2020-12-03,1.07
2020-12-04,1.07
2020-12-07,1.07
2020-12-08,1.08
2020-12-09,1.10
2020-12-10,1.11
2020-12-11,1.11
2020-12-14,1.11
2020-12-15,1.10
2020-12-16,1.08
2020-12-17,1.07
2020-12-18,1.07
2020-12-21,1.07
2020-12-22,1.07
2020-12-23,1.07
2020-12-24,1.06
2020-12-25,.
2020-12-28,1.05
2020-12-29,1.05
2020-12-30,1.03
2020-12-31,1.03
2021-01-01,.
2021-01-04,1.04
2021-01-05,1.05
2021-01-06,1.04
2021-01-07,1.03
2021-01-08,1.02
2021-01-11,1.01
2021-01-12,1.01
2021-01-13,1.00
2021-01-14,0.99
2021-01-15,1.00
2021-01-18,0.99
2021-01-19,0.99
2021-01-20,0.99
2021-01-21,1.00
2021-01-22,1.01
2021-01-25,1.02
2021-01-26,1.02
2021-01-27,1.03
2021-01-28,1.02
2021-01-29,1.02
2021-01-31,1.03
2021-02-01,1.03
2021-02-02,1.02
2021-02-03,1.01
2021-02-04,1.00
2021-02-05,0.99
2021-02-08,0.98
2021-02-09,0.98
2021-02-10,0.98
2021-02-11,0.98
2021-02-12,0.97
2021-02-15,0.97
2021-02-16,0.95
2021-02-17,0.94
2021-02-18,0.94
2021-02-19,0.94
2021-02-22,0.95
2021-02-23,0.97
2021-02-24,0.96
2021-02-25,0.95
2021-02-26,0.95
2021-02-28,0.95
2021-03-01,0.96
2021-03-02,0.96
2021-03-03,0.95
2021-03-04,0.97
2021-03-05,1.00
2021-03-08,1.02
2021-03-09,1.04
2021-03-10,1.04
2021-03-11,1.02
2021-03-12,1.02
2021-03-15,1.02
2021-03-16,1.01
2021-03-17,1.02
2021-03-18,1.00
2021-03-19,1.00
2021-03-22,1.00
2021-03-23,1.01
2021-03-24,1.01
2021-03-25,1.02
2021-03-26,1.01
2021-03-29,1.00
2021-03-30,0.99
2021-03-31,0.97
2021-04-01,0.95
2021-04-02,.
2021-04-05,0.94
2021-04-06,0.95
2021-04-07,0.95
2021-04-08,0.95
2021-04-09,0.94
2021-04-12,0.94
2021-04-13,0.94
2021-04-14,0.93
2021-04-15,0.94
2021-04-16,0.94
2021-04-19,0.95
2021-04-20,0.96
2021-04-21,0.96
2021-04-22,0.96
2021-04-23,0.95
2021-04-26,0.95
2021-04-27,0.94
2021-04-28,0.94
2021-04-29,0.94
2021-04-30,0.94
2021-05-03,0.94
2021-05-04,0.94
2021-05-05,0.94
2021-05-06,0.94
2021-05-07,0.93
2021-05-10,0.93
2021-05-11,0.93
2021-05-12,0.93
2021-05-13,0.93
2021-05-14,0.92
2021-05-17,0.91
2021-05-18,0.91
2021-05-19,0.92
2021-05-20,0.92
2021-05-21,0.91
2021-05-24,0.91
2021-05-25,0.90
2021-05-26,0.90
2021-05-27,0.90
2021-05-28,0.90
2021-05-31,0.91
2021-06-01,0.91
2021-06-02,0.90
2021-06-03,0.90
2021-06-04,0.91
2021-06-07,0.91
2021-06-08,0.91
2021-06-09,0.91
2021-06-10,0.91
2021-06-11,0.90
2021-06-14,0.89
2021-06-15,0.89
2021-06-16,0.87
2021-06-17,0.87
2021-06-18,0.87
2021-06-21,0.87
2021-06-22,0.88
2021-06-23,0.88
2021-06-24,0.87
2021-06-25,0.86
2021-06-28,0.86
2021-06-29,0.86
2021-06-30,0.86
2021-07-01,0.87
2021-07-02,0.87
2021-07-05,0.87
2021-07-06,0.87
2021-07-07,0.88
2021-07-08,0.90
2021-07-09,0.90
2021-07-12,0.90
2021-07-13,0.89
2021-07-14,0.89
2021-07-15,0.90
2021-07-16,0.91
2021-07-19,0.93
2021-07-20,0.94
2021-07-21,0.93
2021-07-22,0.93
2021-07-23,0.92
2021-07-26,0.92
2021-07-27,0.92
2021-07-28,0.92
2021-07-29,0.91
2021-07-30,0.91
2021-07-31,0.92
2021-08-02,0.93
2021-08-03,0.93
2021-08-04,0.93
2021-08-05,0.93
2021-08-06,0.93
2021-08-09,0.93
2021-08-10,0.93
2021-08-11,0.93
2021-08-12,0.93
2021-08-13,0.93
2021-08-16,0.93
2021-08-17,0.93
2021-08-18,0.94
2021-08-19,0.95
2021-08-20,0.95
2021-08-23,0.95
2021-08-24,0.94
2021-08-25,0.93
2021-08-26,0.93
2021-08-27,0.92
2021-08-30,0.92
2021-08-31,0.92
2021-09-01,0.92
2021-09-02,0.92
2021-09-03,0.92
2021-09-06,0.92
2021-09-07,0.92
2021-09-08,0.92
2021-09-09,0.92
2021-09-10,0.91
2021-09-13,0.90
2021-09-14,0.90
2021-09-15,0.90
2021-09-16,0.90
2021-09-17,0.90
2021-09-20,0.91
2021-09-21,0.91
2021-09-22,0.90
2021-09-23,0.89
2021-09-24,0.87
2021-09-27,0.86
2021-09-28,0.87
2021-09-29,0.87
2021-09-30,0.89
2021-10-01,0.89
2021-10-04,0.89
2021-10-05,0.89
2021-10-06,0.90
2021-10-07,0.90
2021-10-08,0.90
2021-10-11,0.90
2021-10-12,0.91
2021-10-13,0.91
2021-10-14,0.90
2021-10-15,0.89
2021-10-18,0.89
2021-10-19,0.89
2021-10-20,0.89
2021-10-21,0.89
2021-10-22,0.89
2021-10-25,0.89
2021-10-26,0.89
2021-10-27,0.89
2021-10-28,0.89
2021-10-29,0.89
2021-10-31,0.89
2021-11-01,0.90
2021-11-02,0.91
2021-11-03,0.91
2021-11-04,0.90
2021-11-05,0.90
2021-11-08,0.89
2021-11-09,0.90
2021-11-10,0.90
2021-11-11,0.90
2021-11-12,0.91
2021-11-15,0.91
2021-11-16,0.93
2021-11-17,0.94
2021-11-18,0.94
2021-11-19,0.94
2021-11-22,0.94
2021-11-23,0.96
2021-11-24,0.96
2021-11-25,0.96
2021-11-26,1.01
2021-11-29,1.02
2021-11-30,1.03
2021-12-01,1.03
2021-12-02,1.04
2021-12-03,1.03
2021-12-06,1.02
2021-12-07,1.00
2021-12-08,0.99
2021-12-09,0.99
2021-12-10,1.00
2021-12-13,1.00
2021-12-14,1.01
2021-12-15,1.01
2021-12-16,1.01
2021-12-17,1.01
2021-12-20,1.03
2021-12-21,1.02
2021-12-22,1.01
2021-12-23,1.00
2021-12-24,.
2021-12-27,0.99
2021-12-28,0.98
2021-12-29,0.97
2021-12-30,0.97
2021-12-31,0.98
2022-01-03,0.97
2022-01-04,0.96
2022-01-05,0.95
2022-01-06,0.95
2022-01-07,0.95
2022-01-10,0.96
2022-01-11,0.96
2022-01-12,0.96
2022-01-13,0.97
2022-01-14,0.97
2022-01-17,0.97
2022-01-18,0.98
2022-01-19,0.99
2022-01-20,1.00
2022-01-21,1.03
2022-01-24,1.05
2022-01-25,1.05
2022-01-26,1.03
2022-01-27,1.07
2022-01-28,1.09
2022-01-31,1.10
2022-02-01,1.08
2022-02-02,1.08
2022-02-03,1.08
2022-02-04,1.09
2022-02-07,1.10
2022-02-08,1.10
2022-02-09,1.09
2022-02-10,1.08
2022-02-11,1.10
2022-02-14,1.11
2022-02-15,1.11
2022-02-16,1.14
2022-02-17,1.18
2022-02-18,1.20
2022-02-21,1.20
2022-02-22,1.23
2022-02-23,1.24
2022-02-24,1.32
2022-02-25,1.27
2022-02-28,1.30
2022-03-01,1.33
2022-03-02,1.33
2022-03-03,1.33
2022-03-04,1.38
2022-03-07,1.43
2022-03-08,1.49
2022-03-09,1.47
2022-03-10,1.48
2022-03-11,1.50
2022-03-14,1.51
2022-03-15,1.52
2022-03-16,1.46
2022-03-17,1.39
2022-03-18,1.37
2022-03-21,1.33
2022-03-22,1.31
2022-03-23,1.31
2022-03-24,1.32
2022-03-25,1.29
2022-03-28,1.29
2022-03-29,1.26
2022-03-30,1.25
2022-03-31,1.22
2022-04-01,1.20
2022-04-04,1.18
2022-04-05,1.15
2022-04-06,1.18
2022-04-07,1.18
2022-04-08,1.20
2022-04-11,1.22
2022-04-12,1.25
2022-04-13,1.28
2022-04-14,1.26
2022-04-15,.
2022-04-18,1.27
2022-04-19,1.28
2022-04-20,1.29
2022-04-21,1.30
2022-04-22,1.33
2022-04-25,1.35
2022-04-26,1.36
2022-04-27,1.38
2022-04-28,1.38
2022-04-29,1.39
2022-04-30,1.41
2022-05-02,1.41
2022-05-03,1.40
2022-05-04,1.41
2022-05-05,1.39
2022-05-06,1.40
